Publisher_Nintendo,Critic_Count,User_Count,Critic_Score,Year_of_Release,Platform_GB,Platform_NES,User_Score,Platform_X360,Platform_PC,Platform_Wii,Publisher_Other,Genre_Platform,Global_Sales
0,0.0,0.0,71.0,2008.0,0,0,7.5,0,0,0,0,0,5.09
0,76.0,667.0,84.0,2009.0,0,0,7.5,0,0,0,1,0,5.09
1,57.0,416.0,90.0,2007.0,0,0,8.0,0,0,0,0,0,5.08
1,0.0,0.0,71.0,1999.0,1,0,7.5,0,0,0,0,1,5.07
0,51.0,233.0,89.0,2010.0,0,0,8.0,0,0,0,0,0,5.07
0,8.0,266.0,91.0,1996.0,0,0,9.0,0,0,0,1,0,5.05
0,50.0,150.0,86.0,2006.0,0,0,8.0,0,0,0,0,0,5.03
0,18.0,69.0,92.0,1999.0,0,0,9.2,0,0,0,0,0,5.02
0,0.0,0.0,71.0,1999.0,0,0,7.5,0,0,0,1,0,5.01
0,0.0,0.0,71.0,1998.0,0,0,7.5,0,0,0,0,1,5.0
0,24.0,46.0,82.0,2007.0,0,0,8.2,0,0,0,0,0,4.98
1,34.0,47.0,68.0,2007.0,0,0,7.1,0,0,1,0,0,4.98
1,0.0,0.0,71.0,2007.0,0,0,7.5,0,0,0,0,0,4.93
0,84.0,1655.0,93.0,2008.0,0,0,8.5,1,0,0,1,0,4.93
0,66.0,2306.0,88.0,2007.0,0,0,8.1,0,0,0,0,0,4.92
0,29.0,121.0,88.0,2005.0,0,0,8.0,0,0,0,0,0,4.91
1,0.0,0.0,71.0,1997.0,0,0,7.5,0,0,0,0,0,4.88
0,0.0,0.0,71.0,2010.0,0,0,7.5,0,0,0,1,0,4.87
1,0.0,0.0,71.0,2014.0,0,0,7.5,0,0,0,0,0,4.87
1,0.0,0.0,71.0,1990.0,0,1,7.5,0,0,0,0,0,4.85
0,82.0,3052.0,93.0,2010.0,0,0,8.2,0,1,0,0,0,4.84
0,40.0,769.0,81.0,2007.0,0,0,7.3,0,0,0,0,0,4.82
0,101.0,2633.0,92.0,2010.0,0,0,8.7,0,0,0,0,0,4.8
0,20.0,233.0,88.0,1999.0,0,0,9.0,0,0,0,0,0,4.79
0,9.0,46.0,80.0,2007.0,0,0,5.4,0,0,0,1,0,4.76
0,14.0,92.0,62.0,2000.0,0,0,7.7,0,0,0,1,0,4.73
0,87.0,1472.0,94.0,2011.0,0,0,8.7,1,0,0,1,0,4.73
0,0.0,0.0,71.0,2014.0,0,0,7.5,0,0,0,0,0,4.71
0,0.0,0.0,71.0,2003.0,0,0,7.5,0,0,0,1,0,4.7
0,19.0,299.0,98.0,2000.0,0,0,7.7,0,0,0,0,0,4.68
0,32.0,78.0,82.0,2002.0,0,0,8.2,0,0,0,0,0,4.67
0,13.0,147.0,91.0,1996.0,0,0,8.6,0,0,0,1,0,4.63
1,50.0,119.0,73.0,2008.0,0,0,7.6,0,0,1,0,0,4.62
0,78.0,1264.0,86.0,2015.0,0,0,8.1,0,0,0,0,0,4.62
1,0.0,0.0,71.0,1991.0,0,0,7.5,0,0,0,0,0,4.61
1,80.0,968.0,96.0,2002.0,0,0,8.9,0,0,0,0,0,4.6
0,36.0,87.0,86.0,2007.0,0,0,8.4,0,0,1,0,0,4.6
1,74.0,458.0,86.0,2013.0,0,0,8.4,0,0,0,0,0,4.59
0,83.0,617.0,91.0,2011.0,0,0,8.2,1,0,0,1,0,4.57
0,0.0,0.0,71.0,2009.0,0,0,7.5,0,0,1,0,0,4.53
0,30.0,78.0,91.0,2004.0,0,0,7.9,0,0,0,0,0,4.53
0,69.0,165.0,85.0,2007.0,0,0,7.9,1,0,0,0,0,4.53
0,0.0,0.0,71.0,1981.0,0,0,7.5,0,0,0,0,1,4.5
0,29.0,39.0,84.0,2006.0,0,0,8.2,0,0,0,0,0,4.49
0,101.0,2438.0,84.0,2015.0,0,0,6.4,0,0,0,1,0,4.48
0,25.0,41.0,76.0,2002.0,0,0,7.9,0,0,0,0,0,4.48
0,0.0,0.0,71.0,2000.0,0,0,7.5,0,0,0,1,0,4.47
0,82.0,1129.0,77.0,2016.0,0,0,3.4,0,0,0,0,0,4.46
0,75.0,997.0,94.0,2005.0,0,0,8.9,0,0,0,0,0,4.45
1,88.0,1184.0,81.0,2015.0,0,0,8.5,0,0,0,0,0,4.43
1,61.0,471.0,77.0,2012.0,0,0,7.9,0,0,0,0,0,4.42
0,34.0,298.0,97.0,2001.0,0,0,7.5,0,0,0,0,0,4.41
0,19.0,33.0,86.0,2006.0,0,0,8.9,0,0,0,0,0,4.39
0,90.0,1109.0,94.0,2006.0,0,0,8.7,1,0,0,0,0,4.38
1,0.0,0.0,71.0,1987.0,0,1,7.5,0,0,0,0,0,4.38
0,36.0,137.0,82.0,2005.0,0,0,9.1,0,0,0,0,0,4.37
0,37.0,31.0,56.0,2010.0,0,0,8.3,0,0,1,0,0,4.36
0,0.0,207.0,71.0,2014.0,0,0,4.8,0,0,0,0,0,4.36
0,70.0,715.0,86.0,2006.0,0,0,8.1,0,0,0,0,0,4.34
0,0.0,0.0,71.0,1991.0,0,0,7.5,0,0,0,0,1,4.34
0,64.0,766.0,87.0,2005.0,0,0,9.0,0,0,0,1,0,4.33
1,0.0,0.0,71.0,2011.0,0,0,7.5,0,0,0,0,0,4.33
1,83.0,1607.0,93.0,2013.0,0,0,9.0,0,0,0,0,1,4.32
0,0.0,0.0,71.0,2014.0,0,0,7.5,0,0,0,1,0,4.32
0,0.0,0.0,71.0,1980.0,0,0,7.5,0,0,0,1,0,4.31
0,0.0,221.0,71.0,2014.0,0,0,4.9,1,0,0,0,0,4.29
0,0.0,109.0,71.0,2014.0,0,0,4.5,0,0,0,0,0,4.28
0,95.0,2423.0,89.0,2008.0,0,0,6.5,1,0,0,1,0,4.27
0,10.0,6.0,79.0,2001.0,0,0,7.3,0,0,0,0,0,4.24
0,70.0,1122.0,91.0,2009.0,0,0,8.9,0,0,0,1,0,4.23
0,68.0,955.0,91.0,2004.0,0,0,9.3,0,0,0,0,0,4.23
0,39.0,613.0,80.0,2011.0,0,0,7.5,0,0,0,0,0,4.22
0,39.0,1749.0,88.0,2015.0,0,0,6.2,0,0,0,1,0,4.22
0,41.0,435.0,84.0,2013.0,0,0,4.2,1,0,0,0,0,4.22
0,59.0,109.0,85.0,2006.0,0,0,8.7,0,0,0,0,1,4.21
0,0.0,0.0,71.0,1995.0,0,0,7.5,0,1,0,0,0,4.21
